City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Moose Factory,CA,2022-11-12 20:52:13,51.2585,-80.6094,26.6,86,100,12.66
67,Kapaa,US,2022-11-12 20:52:13,22.0752,-159.319,79.12,68,100,19.57
68,Merauke,ID,2022-11-12 20:52:13,-8.4667,140.3333,79.52,84,100,9.51
69,Faanui,PF,2022-11-12 20:52:14,-16.4833,-151.75,76.91,82,100,10.31
70,Ahipara,NZ,2022-11-12 20:52:15,-35.1667,173.1667,62.89,69,98,8.39
71,Berezovyy,RU,2022-11-12 20:52:15,51.6667,135.7,15.76,95,38,3.0
72,Lata,PT,2022-11-12 20:52:15,40.1629,-8.3327,56.07,80,98,3.71
73,Gamba,GA,2022-11-12 20:52:16,-2.65,10.0,75.42,90,98,5.95
74,Port Alfred,ZA,2022-11-12 20:52:16,-33.5906,26.891,63.18,97,99,4.0
75,Necochea,AR,2022-11-12 20:52:17,-38.5473,-58.7368,60.87,97,100,11.5
76,Luxor,EG,2022-11-12 20:52:17,25.6989,32.6421,71.65,37,0,3.44
77,Paracuru,BR,2022-11-12 20:52:17,-3.41,-39.0306,80.11,75,14,12.68
78,Tautira,PF,2022-11-12 20:52:18,-17.7333,-149.15,76.21,81,100,14.09
79,Sankt Johann Im Pongau,AT,2022-11-12 20:52:18,47.35,13.2,48.92,57,69,3.98
80,Bowen,AU,2022-11-12 20:52:19,-20.0167,148.2333,77.79,63,2,12.71
81,Thinadhoo,MV,2022-11-12 20:52:19,0.5333,72.9333,81.16,78,99,15.46
82,Dickinson,US,2022-11-12 20:52:20,29.4608,-95.0513,62.17,48,0,21.85
83,Camana,PE,2022-11-12 20:52:20,-16.6228,-72.7111,68.23,75,35,8.03
84,Hilo,US,2022-11-12 20:52:21,19.7297,-155.09,81.25,71,75,9.22
85,Nongstoin,IN,2022-11-12 20:52:21,25.5167,91.2667,50.47,86,0,4.52
86,Busselton,AU,2022-11-12 20:52:22,-33.65,115.3333,53.33,75,79,10.92
87,Bethel,US,2022-11-12 20:48:50,41.3712,-73.414,66.45,63,0,10.36
88,Kodiak,US,2022-11-12 20:53:22,57.79,-152.4072,41.23,88,100,15.57
89,Georgetown,MY,2022-11-12 20:53:23,5.4112,100.3354,78.73,95,20,2.3
90,Lebu,CL,2022-11-12 20:48:39,-37.6167,-73.65,58.78,70,52,12.93
91,Saskylakh,RU,2022-11-12 20:53:23,71.9167,114.0833,-17.86,99,99,6.02
92,Henties Bay,NA,2022-11-12 20:53:24,-22.116,14.2845,60.35,82,0,11.01
93,Ukiah,US,2022-11-12 20:53:24,39.1502,-123.2078,57.09,55,40,9.22
94,Nyagan,RU,2022-11-12 20:53:25,62.1406,65.3936,3.72,98,77,3.06
95,Waingapu,ID,2022-11-12 20:53:25,-9.6567,120.2641,79.92,84,100,3.24
96,Idritsa,RU,2022-11-12 20:53:25,56.3316,28.8988,48.16,69,8,13.49
97,Bullhead City,US,2022-11-12 20:53:26,35.1478,-114.5683,66.02,24,0,3.0
98,Pinega,RU,2022-11-12 20:53:26,64.7001,43.3936,34.02,98,100,8.93
99,Touros,BR,2022-11-12 20:49:35,-5.1989,-35.4608,79.03,78,3,12.17
100,Castro,BR,2022-11-12 20:53:27,-24.7911,-50.0119,68.83,77,75,2.13
101,Lodwar,KE,2022-11-12 20:53:27,3.1191,35.5973,83.21,49,100,15.48
102,Cuajinicuilapa,MX,2022-11-12 20:53:28,16.4667,-98.4167,84.22,69,73,7.65
103,Pitimbu,BR,2022-11-12 20:53:28,-7.4706,-34.8086,77.59,79,75,8.61
104,Katsuura,JP,2022-11-12 20:53:29,35.1333,140.3,67.75,77,31,15.66
105,Bilibino,RU,2022-11-12 20:50:11,68.0546,166.4372,0.63,99,100,2.01
106,Arraial Do Cabo,BR,2022-11-12 20:53:29,-22.9661,-42.0278,78.76,88,40,17.27
107,Chapleau,CA,2022-11-12 20:53:30,47.8405,-83.4034,23.09,86,100,13.8
108,Santa Cruz,BO,2022-11-12 20:49:58,-17.8,-63.1667,84.25,58,75,27.63
109,Jumla,NP,2022-11-12 20:53:30,29.2747,82.1838,37.4,53,0,3.67
110,Victor Harbor,AU,2022-11-12 20:53:31,-35.5667,138.6167,59.68,85,23,17.47
111,Araouane,ML,2022-11-12 20:53:31,18.9048,-3.5265,79.93,14,31,6.82
112,Hofn,IS,2022-11-12 20:53:31,64.2539,-15.2082,44.17,80,100,9.37
113,Menzelinsk,RU,2022-11-12 20:53:32,55.7271,53.1026,41.77,94,100,15.95
114,Ancud,CL,2022-11-12 20:53:32,-41.8697,-73.8203,54.77,83,96,7.81
115,Lorengau,PG,2022-11-12 20:53:33,-2.0226,147.2712,81.37,79,98,4.21
116,Yellowknife,CA,2022-11-12 20:53:20,62.456,-114.3525,16.32,100,100,5.75
117,Hithadhoo,MV,2022-11-12 20:53:33,-0.6,73.0833,81.34,72,42,15.64
118,Port Lincoln,AU,2022-11-12 20:53:34,-34.7333,135.8667,60.22,84,78,18.95
119,Hanyang,CN,2022-11-12 20:53:34,32.1371,105.5126,47.89,73,90,4.63
120,Thompson,CA,2022-11-12 20:53:34,55.7435,-97.8558,-0.24,85,75,0.0
121,Salisbury,GB,2022-11-12 20:53:35,51.0693,-1.7957,59.02,94,1,13.8
122,Bengkulu,ID,2022-11-12 20:53:35,-3.8004,102.2655,74.75,94,100,3.44
123,Chokurdakh,RU,2022-11-12 20:53:36,70.6333,147.9167,-20.92,98,100,6.49
124,Nanortalik,GL,2022-11-12 20:50:05,60.1432,-45.2371,27.36,80,99,4.12
125,Livingston,GB,2022-11-12 20:53:36,55.9029,-3.5226,51.58,91,75,1.14
126,Beoumi,CI,2022-11-12 20:53:37,7.6736,-5.5764,74.53,87,66,5.95
127,Beringovskiy,RU,2022-11-12 20:53:37,63.05,179.3167,9.23,99,100,9.89
128,Pochutla,MX,2022-11-12 20:53:38,15.7432,-96.4661,83.82,72,82,5.61
129,Tongliao,CN,2022-11-12 20:53:38,43.6125,122.2653,9.68,88,5,4.65
130,Manyana,BW,2022-11-12 20:53:39,-23.4,21.7167,68.79,76,30,13.67
131,Umea,SE,2022-11-12 20:52:27,63.8284,20.2597,44.53,76,0,11.5
132,Walvis Bay,NA,2022-11-12 20:53:39,-22.9575,14.5053,61.75,63,0,9.22
133,Hokitika,NZ,2022-11-12 20:53:40,-42.7167,170.9667,60.48,68,40,6.87
134,Makat,KZ,2022-11-12 20:53:40,47.6469,53.3463,41.63,87,94,17.76
135,Goderich,CA,2022-11-12 20:50:22,43.7501,-81.7165,42.91,75,100,11.5
136,High Prairie,CA,2022-11-12 20:54:41,55.4334,-116.4858,31.32,85,9,5.77
137,Kaithal,IN,2022-11-12 20:54:41,29.8,76.3833,63.32,33,9,5.99
138,Mikuni,JP,2022-11-12 20:54:42,36.2171,136.1519,67.91,77,63,13.49
139,Hoi An,VN,2022-11-12 20:54:42,15.8794,108.335,78.76,86,100,4.88
140,Marawi,PH,2022-11-12 20:54:42,7.9986,124.2928,66.36,89,96,2.26
141,Oriximina,BR,2022-11-12 20:54:43,-1.7656,-55.8661,84.15,61,100,2.91
142,Nikolskoye,RU,2022-11-12 20:54:43,59.7035,30.7861,49.91,72,38,15.21
143,Boa Vista,BR,2022-11-12 20:54:44,2.8197,-60.6733,89.58,51,40,6.91
144,Jiayuguan,CN,2022-11-12 20:54:44,39.8167,98.3,29.73,48,51,7.27
145,Grindavik,IS,2022-11-12 20:54:44,63.8424,-22.4338,40.95,87,40,9.22
146,Kara-Tyube,RU,2022-11-12 20:54:45,44.6336,45.4369,45.36,73,75,10.07
147,Agadir,MA,2022-11-12 20:50:28,30.4202,-9.5982,77.45,26,12,4.97
148,Wawa,NG,2022-11-12 20:54:45,9.9022,4.4192,80.78,44,57,2.42
149,Tarancon,ES,2022-11-12 20:54:46,40.0085,-3.0073,55.09,76,100,13.51
150,Nizhniy Tsasuchey,RU,2022-11-12 20:54:46,50.5167,115.1333,9.12,92,80,2.33
151,Chumikan,RU,2022-11-12 20:54:46,54.7183,135.315,9.93,91,21,17.9
152,Saldanha,ZA,2022-11-12 20:54:47,-33.0117,17.9442,62.65,91,0,8.81
153,Tabou,CI,2022-11-12 20:54:47,4.423,-7.3528,78.1,86,81,7.34
154,Burnie,AU,2022-11-12 20:54:48,-41.0667,145.9167,50.94,94,100,15.82
155,Souillac,MU,2022-11-12 20:54:48,-20.5167,57.5167,73.78,68,40,3.44
156,Sakaiminato,JP,2022-11-12 20:54:48,35.55,133.2333,67.98,60,75,10.36
157,Senanga,ZM,2022-11-12 20:54:49,-16.1167,23.2667,67.53,91,100,5.97
158,Qianguo,CN,2022-11-12 20:54:49,45.1171,124.8568,14.67,86,3,4.65
159,Chapais,CA,2022-11-12 20:54:50,49.7834,-74.8492,33.58,99,100,3.91
160,Khatanga,RU,2022-11-12 20:54:50,71.9667,102.5,-23.39,98,98,8.77
161,Pontes E Lacerda,BR,2022-11-12 20:51:19,-15.2261,-59.3353,92.23,38,100,8.21
162,Hatillo De Loba,CO,2022-11-12 20:54:51,8.9564,-74.0782,80.58,93,99,2.53
163,Le Pont-De-Claix,FR,2022-11-12 20:54:51,45.1244,5.7064,58.48,65,99,3.02
164,Mount Isa,AU,2022-11-12 20:54:52,-20.7333,139.5,74.97,83,61,5.75
165,Korla,CN,2022-11-12 20:54:52,41.7597,86.1469,35.26,57,10,3.02
166,Qui Nhon,VN,2022-11-12 20:54:53,13.7667,109.2333,75.58,92,100,8.01
167,Bastia,FR,2022-11-12 20:54:53,42.6667,9.3333,65.3,52,0,4.61
168,Provideniya,RU,2022-11-12 20:54:54,64.3833,-173.3,13.86,76,3,8.68
169,New Norfolk,AU,2022-11-12 20:54:54,-42.7826,147.0587,52.92,64,100,1.01
170,Przhevalskoye,RU,2022-11-12 20:54:54,55.5093,31.8482,49.1,80,62,13.71
171,Hambantota,LK,2022-11-12 20:54:55,6.1241,81.1185,76.8,85,100,5.59
172,Meulaboh,ID,2022-11-12 20:54:55,4.1363,96.1285,74.1,96,100,1.63
173,Shakawe,BW,2022-11-12 20:54:56,-18.3667,21.85,72.18,75,82,6.33
174,Bambous Virieux,MU,2022-11-12 20:54:56,-20.3428,57.7575,73.65,68,40,3.44
175,Quang Ngai,VN,2022-11-12 20:54:56,15.1167,108.8,74.68,91,100,4.99
176,Arlit,NE,2022-11-12 20:54:57,18.7369,7.3853,76.86,19,66,9.57
177,Haines Junction,CA,2022-11-12 20:54:57,60.7522,-137.5108,39.15,56,26,5.75
178,Bredasdorp,ZA,2022-11-12 20:54:58,-34.5322,20.0403,62.22,78,1,13.6
179,Gabu,GW,2022-11-12 20:54:58,12.2833,-14.2167,75.52,26,4,2.15
180,Carnarvon,AU,2022-11-12 20:54:58,-24.8667,113.6333,62.56,58,0,21.32
181,Lompoc,US,2022-11-12 20:54:59,34.6391,-120.4579,71.02,55,0,16.11
182,Dubbo,AU,2022-11-12 20:54:59,-32.25,148.6167,66.33,94,75,6.91
183,Matara,LK,2022-11-12 20:51:50,5.9485,80.5353,76.14,88,100,3.8
184,Karakol,KG,2022-11-12 20:56:00,42.4907,78.3936,24.44,55,4,6.51
185,Qaanaaq,GL,2022-11-12 20:56:00,77.484,-69.3632,0.43,68,80,4.0
186,Borodino,RU,2022-11-12 20:56:01,55.9106,94.8983,28.76,74,50,7.47
187,Padang,ID,2022-11-12 20:55:40,-0.9492,100.3543,75.56,97,100,3.65
188,Mandurah,AU,2022-11-12 20:53:57,-32.55,115.7,53.98,87,11,9.71
189,Zyryanovsk,KZ,2022-11-12 20:56:01,49.7386,84.2719,31.44,98,100,3.42
190,Sarkand,KZ,2022-11-12 20:56:02,45.41,79.9186,33.91,50,98,6.4
191,Talnakh,RU,2022-11-12 20:55:07,69.4865,88.3972,-28.1,95,22,3.53
192,Andreyevka,RU,2022-11-12 20:56:03,55.9803,37.135,51.49,71,40,22.37
193,Te Anau,NZ,2022-11-12 20:56:03,-45.4167,167.7167,46.09,84,100,2.73
194,Vardo,NO,2022-11-12 20:56:03,70.3705,31.1107,39.18,65,100,20.71
195,Victoria,HK,2022-11-12 20:54:10,22.2855,114.1577,75.94,86,6,6.2
196,Seoul,KR,2022-11-12 20:53:58,37.5683,126.9778,52.99,85,75,11.5
197,Moron,AR,2022-11-12 20:53:05,-34.6534,-58.6198,80.8,64,100,8.61
198,Lawton,US,2022-11-12 20:56:04,34.6087,-98.3903,51.42,38,14,5.99
199,Shemonaikha,KZ,2022-11-12 20:56:05,50.6328,81.9056,33.22,99,100,16.67
200,Russell,US,2022-11-12 20:56:05,32.3502,-85.1999,67.41,68,100,10.54
201,Bud,US,2022-11-12 20:56:06,39.447,-86.1758,32.76,85,100,9.98
202,Praia,CV,2022-11-12 20:56:06,14.9215,-23.5087,77.54,73,40,17.27
203,San Patricio,US,2022-11-12 20:56:07,28.017,-97.5169,62.92,36,72,14.52
204,Iqaluit,CA,2022-11-12 20:56:07,63.7506,-68.5145,8.33,71,100,6.91
205,Holme,DK,2022-11-12 20:56:07,56.1138,10.1725,54.97,94,100,6.49
206,Doha,QA,2022-11-12 20:56:08,25.2867,51.5333,84.09,74,0,4.61
207,Anito,PH,2022-11-12 20:56:08,12.4497,125.2886,78.93,89,85,7.02
208,Hobyo,SO,2022-11-12 20:54:43,5.3505,48.5268,80.98,72,2,13.31
209,Kolondieba,ML,2022-11-12 20:56:09,11.0882,-6.8926,79.32,35,7,0.81
210,Shingu,JP,2022-11-12 20:56:09,33.7333,135.9833,65.41,81,90,4.25
211,Bangaon,IN,2022-11-12 20:56:10,23.0667,88.8167,66.79,49,68,6.17
212,Yashkul,RU,2022-11-12 20:56:10,46.1711,45.3435,44.83,73,38,15.35
213,Krasnoselkup,RU,2022-11-12 20:56:11,65.7,82.4667,-16.24,97,18,9.48
214,Makakilo City,US,2022-11-12 20:56:11,21.3469,-158.0858,77.32,72,100,11.5
215,Paragominas,BR,2022-11-12 20:56:12,-2.9667,-47.4833,81.52,69,80,5.99
216,Severo-Kurilsk,RU,2022-11-12 20:56:12,50.6789,156.125,34.12,65,98,15.3
217,Alofi,NU,2022-11-12 20:52:00,-19.0595,-169.9187,80.49,69,40,14.97
218,Yumbe,UG,2022-11-12 20:56:13,3.4651,31.2469,64.85,90,100,3.56
219,Bilma,NE,2022-11-12 20:56:13,18.6853,12.9164,71.33,28,0,9.53
220,Sao Jose Da Coroa Grande,BR,2022-11-12 20:56:14,-8.8978,-35.1478,77.2,85,24,6.58
221,Sur,OM,2022-11-12 20:56:14,22.5667,59.5289,77.77,56,1,7.4
222,Sinfra,CI,2022-11-12 20:56:14,6.6167,-5.9167,71.49,97,79,2.44
223,El Carmen De Bolivar,CO,2022-11-12 20:56:15,9.7174,-75.1202,79.52,89,95,7.87
224,Narsaq,GL,2022-11-12 20:56:15,60.9167,-46.05,24.35,72,98,8.77
225,Gornoye Loo,RU,2022-11-12 20:56:16,43.7129,39.6049,47.98,76,15,3.69
226,Port-Cartier,CA,2022-11-12 20:56:16,50.0334,-66.8654,26.82,94,100,14.16
227,Goundam,ML,2022-11-12 20:56:17,16.4145,-3.6708,84.04,15,100,8.5
