City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Tocache,PE,81.28,overcast clouds,-8.1842,-76.5125,Residencial JATER
242,Emerald,AU,71.35,clear sky,-23.5333,148.1667,Emerald Inn
244,Samarai,PG,81.68,overcast clouds,-10.6167,150.6667,Nuli Sapi
245,Riyadh,SA,73.54,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
247,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
248,Ixtapa,MX,81.23,clear sky,20.7,-105.2,hotel la terminal
250,Dingle,PH,75.7,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
251,Wanning,CN,75.78,overcast clouds,18.8003,110.3967,Paradise Hotel
253,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
258,Santa Maria,BR,79.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
262,Kulhudhuffushi,MV,81.0,broken clouds,6.6221,73.07,Haajy Guest House 1
264,Key West,US,89.6,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
270,Buchanan,LR,77.25,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
273,Celendin,PE,72.12,light rain,-6.8703,-78.1517,Villa Madrid
274,Deniliquin,AU,71.73,scattered clouds,-35.5333,144.9667,Riviana Motel
275,Paracuru,BR,80.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
278,Bom Jesus,BR,84.0,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
280,Nouakchott,MR,75.13,broken clouds,18.0858,-15.9785,HOTEL IMAN
281,Kavaratti,IN,80.69,moderate rain,10.5669,72.642,Green leaf
289,Rio Grande,BR,73.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
292,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
293,Dwarka,IN,79.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
296,Manadhoo,MV,80.73,overcast clouds,5.7667,73.3833,Bon Abri maldives
325,Calabar,NG,75.87,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
327,Mitsamiouli,KM,76.91,clear sky,-11.3847,43.2844,Foyer ADM
330,Kieta,PG,81.0,light rain,-6.2167,155.6333,Uruna Bay Retreat
331,Nhulunbuy,AU,83.01,few clouds,-12.2333,136.7667,East Arnhem Real Estate
332,Virginia Beach,US,75.24,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
334,Kavieng,PG,83.68,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
337,Ellisras,ZA,70.03,light rain,-23.6649,27.7443,Lapa le le guesthouse
338,Grand-Lahou,CI,78.08,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
343,Sinjai,ID,76.26,overcast clouds,-5.1241,120.253,Wisma Sandika
345,Sur,OM,77.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
346,Hobe Sound,US,84.97,scattered clouds,27.0595,-80.1364,Floridays RV Park
347,Mabaruma,GY,75.31,heavy intensity rain,8.2,-59.7833,Monty Brooms Guest House
349,Pedernales,DO,81.86,few clouds,18.0384,-71.744,Hotel Costa Marina
350,Mazatlan,MX,81.01,clear sky,23.2167,-106.4167,Hotel La Siesta
351,Zhuhai,CN,73.18,clear sky,22.2769,113.5678,珠海粤财假日酒店
354,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
357,Muli,MV,81.07,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
358,Victoria,HK,74.32,clear sky,22.2855,114.1577,Mini Central
360,Biak,ID,77.14,overcast clouds,-0.9131,122.8766,Penginapan Kim
362,Carora,VE,76.32,overcast clouds,10.1755,-70.0827,Hotel Irpinia
363,Antalaha,MG,70.9,light rain,-14.9003,50.2788,Hotel Vitasoa
364,Pontes E Lacerda,BR,86.83,overcast clouds,-15.2261,-59.3353,Hotel Bressan
370,Puerto Leguizamo,CO,82.13,broken clouds,-0.1934,-74.7819,la casona de juancho
371,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
373,Morondava,MG,79.59,broken clouds,-20.2833,44.2833,La Case Bambou
374,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
376,Waingapu,ID,80.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
377,Bongaree,AU,76.05,clear sky,-27.0797,153.1586,The Gums Anchorage
378,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
380,Acajutla,SV,82.04,scattered clouds,13.5928,-89.8275,CASA DE LA PERRA
388,Townsville,AU,81.48,broken clouds,-19.25,146.8,Rydges Southbank Townsville
393,Saint-Philippe,RE,71.19,clear sky,-21.3585,55.7679,Le four à pain
395,Champerico,GT,91.94,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
402,Maumere,ID,80.91,overcast clouds,-8.6199,122.2111,Sylvia Hotel
404,Domoni,KM,76.71,broken clouds,-12.2569,44.5319,Al Djadid
406,Auki,SB,82.6,broken clouds,-8.7676,160.7034,Auki Motel
408,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
410,Payo,ID,73.18,overcast clouds,-3.7508,103.6372,Mess keban agung
411,Hambantota,LK,73.74,scattered clouds,6.1241,81.1185,Bungalow 63
413,Guimbal,PH,78.19,scattered clouds,10.6633,122.3228,Shamrock Beach Resort
415,Chabahar,IR,78.96,clear sky,25.2919,60.643,هتل گدروشیا
417,Eirunepe,BR,83.7,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
420,Yulara,AU,70.48,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
421,Linguere,SN,82.62,clear sky,15.3953,-15.1193,AYO Casablanca
424,Phuket,TH,84.13,few clouds,8.0,98.25,The Surin
425,Jalingo,NG,79.45,clear sky,8.8833,11.3667,Debright Motel
427,Katubao,PH,79.77,overcast clouds,5.8892,124.8294,IML Ecopark
429,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
430,Fougamou,GA,72.43,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
432,Havelock,US,71.56,overcast clouds,34.8791,-76.9013,Sherwood Motel
433,Iranshahr,IR,70.14,clear sky,27.2025,60.6848,نیک سرشت
435,Qui Nhon,VN,75.76,light rain,13.7667,109.2333,Seagull Hotel
440,Tolaga Bay,NZ,71.33,clear sky,-38.3667,178.3,Tolaga Bay Motel
447,Daloa,CI,70.86,moderate rain,6.8774,-6.4502,Imans Hotel Daloa
452,Sao Felix Do Xingu,BR,82.47,light rain,-6.6447,-51.995,Rio Xingu Camping
457,Angoche,MZ,76.3,clear sky,-16.2325,39.9086,Guest House HESADA
460,Bobo Dioulasso,BF,79.25,clear sky,11.1771,-4.2979,IBA Hotel
465,Epe,NG,76.93,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
467,Loandjili,CG,77.14,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
474,Macapa,BR,87.78,scattered clouds,0.0389,-51.0664,Atalanta Hotel
481,Guerrero Negro,MX,70.56,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
482,Nouna,BF,84.02,clear sky,12.7333,-3.8667,Sabunyuma So
485,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
486,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
488,Labrea,BR,81.63,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
489,Touros,BR,78.93,clear sky,-5.1989,-35.4608,INN NEW HORIZON
491,Honiara,SB,82.29,overcast clouds,-9.4333,159.95,Heritage Park Hotel
