City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Filipe,CV,14.8961,-24.4956,76.91,72,4,8.43,clear sky
80,Cherskiy,RU,68.75,161.3,-12.84,96,100,8.21,overcast clouds
81,Port Elizabeth,ZA,-33.918,25.5701,64.09,92,100,9.22,light rain
82,Taoudenni,ML,22.6783,-3.9836,77.32,15,0,12.5,clear sky
83,Hamilton,US,39.1834,-84.5333,34.09,89,100,11.5,haze
84,Cam Ranh,VN,11.9214,109.1591,73.36,100,75,1.14,light rain
85,Bluff,NZ,-46.6,168.3333,51.24,92,100,10.6,light rain
86,Ambilobe,MG,-13.2,49.05,73.9,83,65,1.63,broken clouds
87,Adrar,MR,20.5022,-10.0711,73.87,12,9,9.69,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,35.76,78,100,23.78,light rain
89,Shenzhen,CN,22.5455,114.0683,76.98,93,14,3.29,few clouds
90,Inirida,CO,3.8653,-67.9239,77.49,93,98,2.66,moderate rain
91,Bredasdorp,ZA,-34.5322,20.0403,61.66,79,1,11.72,clear sky
92,Bambous Virieux,MU,-20.3428,57.7575,73.65,64,75,4.61,broken clouds
93,Narsaq,GL,60.9167,-46.05,35.82,71,99,7.76,overcast clouds
94,Castro,BR,-24.7911,-50.0119,65.12,81,61,1.63,broken clouds
95,Northam,GB,51.0333,-4.2167,58.39,94,55,11.72,broken clouds
96,Busselton,AU,-33.65,115.3333,54.1,70,83,10.63,broken clouds
97,Prince Rupert,CA,54.3161,-130.3201,38.89,84,75,5.75,broken clouds
98,Salalah,OM,17.0151,54.0924,77.09,61,0,5.75,clear sky
99,Markala,ML,13.7021,-6.0659,81.25,26,0,3.91,clear sky
100,Anadyr,RU,64.75,177.4833,-1.7,84,75,2.24,fog
101,Ashqelon,IL,31.6693,34.5715,69.1,48,0,8.72,clear sky
102,Georgetown,MY,5.4112,100.3354,78.89,96,20,1.14,light rain
103,Umm Kaddadah,SD,13.6017,26.6876,72.41,23,75,13.27,broken clouds
104,Arlit,NE,18.7369,7.3853,75.81,20,51,8.97,broken clouds
105,Sanok,PL,49.5557,22.2056,44.1,100,6,3.15,clear sky
106,Hobart,AU,-42.8794,147.3294,53.26,72,100,6.31,overcast clouds
107,Rawah,IQ,34.4816,41.9093,64.96,41,0,7.34,clear sky
108,Berlevag,NO,70.8578,29.0864,39.15,65,100,12.66,overcast clouds
109,Aktash,RU,50.3,87.7333,12.4,81,100,5.48,overcast clouds
110,Sitka,US,57.0531,-135.33,44.49,81,100,11.5,light rain
111,Lieksa,FI,63.3167,30.0167,38.61,80,59,23.47,broken clouds
112,Lethem,GY,3.3803,-59.7968,80.02,78,99,9.42,overcast clouds
113,San Patricio,US,28.017,-97.5169,64.27,35,57,14.5,broken clouds
114,Kodiak,US,57.79,-152.4072,45.91,71,40,13.8,scattered clouds
115,Harper,LR,4.375,-7.7169,78.08,86,61,7.49,light rain
116,Mayumba,GA,-3.432,10.6554,76.53,85,85,8.43,overcast clouds
117,Raiganj,IN,25.6167,88.1167,63.32,53,6,5.88,clear sky
118,Dezful,IR,32.3811,48.4058,68.59,63,7,2.28,clear sky
119,Ribeira Grande,PT,38.5167,-28.7,60.78,67,40,13.8,scattered clouds
120,Quakenbruck,DE,52.6833,7.95,48.6,87,91,4.72,overcast clouds
121,Lorengau,PG,-2.0226,147.2712,81.95,78,99,4.03,overcast clouds
122,La Rioja,ES,42.25,-2.5,46.18,84,1,7.54,clear sky
123,Bunia,CD,1.5667,30.25,61.07,95,100,2.06,overcast clouds
124,Mehriz,IR,31.5917,54.4318,50.5,75,96,0.74,overcast clouds
125,Airai,TL,-8.9266,125.4092,63.55,89,66,1.83,broken clouds
126,Ruwi,OM,23.5996,58.5507,76.69,45,0,4.83,clear sky
127,San Pedro,PH,14.35,121.0167,78.03,92,20,1.14,few clouds
128,Dudinka,RU,69.4058,86.1778,-27.83,97,8,6.76,clear sky
129,Nantucket,US,41.2835,-70.0995,66.34,83,0,19.57,clear sky
130,Iralaya,HN,15.0,-83.2333,82.65,73,11,6.87,few clouds
131,Maceio,BR,-9.6658,-35.7353,78.24,88,75,8.05,broken clouds
132,Port Macquarie,AU,-31.4333,152.9167,72.9,83,40,11.5,scattered clouds
133,Piacabucu,BR,-10.4056,-36.4344,76.69,87,14,6.55,few clouds
134,Klaksvik,FO,62.2266,-6.589,49.12,95,100,13.94,overcast clouds
135,Vostok,RU,46.4856,135.8833,25.07,97,100,5.53,snow
136,Guangyuan,CN,32.442,105.823,49.62,81,100,5.48,overcast clouds
137,Sandakan,MY,5.8402,118.1179,76.68,94,40,5.01,scattered clouds
138,Prince George,CA,53.9166,-122.753,30.29,88,100,0.0,overcast clouds
139,Pokhara,NP,28.2333,83.9833,55.78,52,1,5.57,clear sky
140,Lac Du Bonnet,CA,50.2536,-96.0612,21.63,80,100,2.08,overcast clouds
141,Fortuna Foothills,US,32.6578,-114.4119,70.21,19,0,5.75,clear sky
142,Chokurdakh,RU,70.6333,147.9167,-20.79,99,100,6.93,overcast clouds
143,Bilma,NE,18.6853,12.9164,70.25,28,1,9.24,clear sky
144,Nioro,GM,13.35,-15.75,77.04,29,59,4.68,broken clouds
145,Yakeshi,CN,49.2833,120.7333,5.97,96,90,3.8,overcast clouds
146,Lebu,CL,-37.6167,-73.65,57.94,72,42,11.5,scattered clouds
147,Barra Do Garcas,BR,-15.89,-52.2567,86.58,54,75,0.0,broken clouds
148,Egvekinot,RU,66.3167,-179.1667,-2.65,86,38,3.13,scattered clouds
149,Morlaix,FR,48.5833,-4.0,59.32,82,0,9.22,clear sky
150,Zhangjiakou,CN,40.81,114.8794,27.37,50,0,2.98,clear sky
151,Moron,AR,-34.6534,-58.6198,80.49,78,100,7.14,overcast clouds
152,Cuencame,MX,24.8711,-103.6964,73.24,30,24,8.77,few clouds
153,Alpena,US,45.0617,-83.4327,36.18,80,100,9.22,overcast clouds
154,Lillehammer,NO,61.1146,10.4674,39.79,90,83,4.12,broken clouds
155,Valdivia,CL,-39.8142,-73.2459,64.49,61,60,5.19,broken clouds
156,Kapaa,US,22.0752,-159.319,82.38,70,75,24.16,broken clouds
157,Provideniya,RU,64.3833,-173.3,14.85,76,3,8.97,clear sky
158,Coronel Fabriciano,BR,-19.5186,-42.6289,77.04,57,0,8.05,clear sky
159,Lagoa,PT,39.05,-27.9833,60.17,61,100,27.0,overcast clouds
160,Port Blair,IN,11.6667,92.75,79.05,81,68,9.4,broken clouds
161,Selma,US,36.5708,-119.6121,62.35,55,0,4.61,clear sky
162,Esperance,AU,-33.8667,121.9,57.13,75,85,18.39,overcast clouds
163,Eufaula,US,31.8913,-85.1455,66.33,82,100,11.97,overcast clouds
164,Hasaki,JP,35.7333,140.8333,52.2,74,4,16.78,clear sky
165,Scarborough,GB,54.2797,-0.4044,53.65,90,0,1.01,clear sky
166,Evensk,RU,61.95,159.2333,13.98,94,100,7.0,overcast clouds
167,East London,ZA,-33.0153,27.9116,68.11,94,100,18.7,overcast clouds
168,Flinders,AU,-34.5833,150.8552,68.05,85,99,5.01,light rain
169,High Prairie,CA,55.4334,-116.4858,30.2,89,9,4.38,clear sky
170,Portland,US,45.5234,-122.6762,54.99,57,20,4.61,few clouds
171,Umm Lajj,SA,25.0213,37.2685,78.15,59,0,9.22,clear sky
172,Posse,BR,-14.0931,-46.3694,70.48,77,82,2.8,broken clouds
173,Talnakh,RU,69.4865,88.3972,-27.76,94,19,3.22,few clouds
174,Aykhal,RU,66.0,111.5,-17.25,98,99,17.87,overcast clouds
175,Gidole,ET,5.65,37.3667,58.86,68,86,3.4,light rain
176,Ostrovnoy,RU,68.0531,39.5131,35.42,83,100,26.08,light rain
177,Cape Town,ZA,-33.9258,18.4232,66.09,85,1,4.0,clear sky
